IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban
45/77/3228511372.jpg,43008843@N00,46.778991,23.611207,0,5,21,0.978698977,0.001071109,0.020229927
2e/b5/4325164013.jpg,22489773@N02,40.445379,116.66399,2,14,201,0.016873616,0.366694327,0.616432036
68/42/2195251385.jpg,85976263@N00,47.469907,19.072952,0,5,250,0.964544532,1.13E-06,0.035454281
87/7b/6786398493.jpg,70806177@N00,31.704666,35.206666,0,5,169,0.912589965,0.005845575,0.081564508
8b/a2/5663163551.jpg,46604778@N00,32.654696,-16.907958,2,14,268,0.194149475,0.11874539,0.687105148
d1/31/98241837.jpg,32344690@N00,46.604937,14.176944,0,0,322,0.904342032,0.001192849,0.094465143
e9/de/3875751524.jpg,48881044@N00,41.414333,2.151999,2,14,49,0.003281245,0.032124504,0.964594285
bb/5e/10575232886.jpg,34604973@N05,24.048741,121.281333,1,7,116,5.54E-05,0.911452445,0.088492186
a4/b8/5647906142.jpg,7702423@N04,42.274,-83.737339,2,14,364,0.0167856,0.012962429,0.970251958
da/04/10154331054.jpg,19111040@N00,-34.978753,138.511811,2,6,268,0.004352023,0.406564336,0.589083673
cf/8a/2434793840.jpg,36145201@N00,36.11621,-115.193774,0,0,29,0.508542196,0.006731654,0.484726169
3c/c9/3244938848.jpg,33292274@N07,51.511284,-0.098297,0,2,144,0.526021547,0.07873052,0.395247901
93/5f/5338616808.jpg,23957604@N05,44.747636,-93.129799,2,12,149,0.014230862,0.00092111,0.984848124
65/00/271007521.jpg,96032440@N00,45.803405,-123.964662,1,6,271,0.003567265,0.877451089,0.118981671
79/03/2815609329.jpg,11897392@N04,38.940372,-77.052526,2,14,220,0.001474609,0.006878323,0.991647083
09/88/2599668097.jpg,21671592@N02,44.502627,-1.249523,2,13,206,0.022247849,0.136966361,0.840785822
1d/e3/8793072746.jpg,95549735@N08,58.33304,13.826937,1,8,36,6.44E-05,0.994626363,0.005309235
85/99/375106492.jpg,62869273@N00,-43.191701,171.898418,2,14,166,0.065090648,0.148676303,0.786233161
bb/f2/6121777238.jpg,90349026@N00,40.753406,-73.948905,0,1,126,0.613518092,0.047077039,0.339404758
32/d9/3027203153.jpg,16935515@N00,-1.585133,29.247922,0,0,146,0.582187961,0.004851653,0.412960409
c0/93/2856194558.jpg,24086895@N00,40.425078,-3.69029,2,0,185,0.409639341,0.070034682,0.520325936
a1/01/8113463059.jpg,45767493@N00,51.52355,-3.246009,1,8,151,0.024619541,0.798972043,0.176408502
9d/a6/7554154618.jpg,31348155@N03,39.774324,-86.150922,2,12,316,0.245539036,0.000198082,0.754262821
1e/e4/7861028794.jpg,35521221@N05,52.926688,-4.128428,2,10,257,0.004572126,0.001728335,0.993699643
9e/0e/3691669080.jpg,23244282@N00,40.347378,-75.03502,1,7,306,6.00E-05,0.998779654,0.001160301
b1/3d/7723432134.jpg,23747661@N07,44.815028,1.149144,2,11,84,0.000750158,0.030496692,0.968753189
7a/a9/3535821736.jpg,83827067@N00,59.294884,18.081908,0,4,16,0.987071504,0.008862624,0.00406575
45/00/2116941014.jpg,51132506@N00,37.357059,129.217758,2,10,175,0.002487908,0.463678328,0.533833753
c3/f7/757415877.jpg,92277165@N00,33.946884,-93.847023,0,1,129,0.997641149,0.000257507,0.002101381
c2/d0/2070098562.jpg,66487272@N00,25.744472,-80.210527,2,11,230,0.00250058,0.000596498,0.996902903
df/d5/4722031395.jpg,9841811@N06,52.07154,-1.018638,2,15,143,0.057562094,0.014421191,0.928016726
f0/db/6775157589.jpg,74821492@N00,17.499228,78.541832,0,0,172,0.991558886,7.54E-05,0.008365562
af/74/2038689237.jpg,79178880@N00,53.147079,-6.90628,1,8,145,0.008745882,0.63870696,0.352547137
8b/c7/4044742818.jpg,15296966@N00,39.231671,-77.729022,1,8,349,0.000464656,0.516880125,0.482655157
8f/19/2657523317.jpg,8819274@N04,2.902238,101.678123,0,3,2,0.982430655,0.004555971,0.013013513
8f/ee/6823451263.jpg,28085418@N07,42.264757,-82.435891,0,4,122,0.895666438,0.095178922,0.009154584
d6/ce/3487654132.jpg,96999071@N00,39.072603,-84.330523,0,1,126,0.9857037,0.0012127,0.01308357
e1/57/5774280546.jpg,52900873@N07,45.112917,-95.051205,2,10,257,0.428828438,0.002049684,0.569121886
04/b1/5207174514.jpg,31403562@N00,48.216433,16.367169,0,5,14,0.999664668,1.12E-05,0.000324182
a3/ca/3139815425.jpg,37029314@N00,40.77827,-73.83616,2,11,200,0.004457132,0.142527103,0.85301582
43/3f/2788162048.jpg,60894088@N00,43.485683,4.406547,0,5,219,0.843655286,0.00342989,0.152914817
fa/1b/8800466720.jpg,30751031@N07,50.092194,14.400072,2,14,153,0.003349258,0.380059963,0.616590691
8b/6d/4061570571.jpg,87806488@N00,45.49533,-73.563605,0,4,122,0.998472173,0.000119806,0.001407957
60/8f/3432638486.jpg,36016146@N04,31.385273,-90.588723,1,8,62,0.069981694,0.530924447,0.399093705
de/20/10010846683.jpg,96645747@N00,29.943205,-98.101823,2,12,316,0.480474227,0.000506056,0.519019806
1e/89/4350748251.jpg,12734746@N00,28.374032,-81.549539,0,4,34,0.972367106,0.011114315,0.016518592
ec/a9/3733243089.jpg,90784314@N00,36.921552,-121.753817,2,10,257,0.006567222,0.108046512,0.885386341
9a/4e/8123220500.jpg,24256658@N06,35.65146,139.401535,2,14,201,0.369723303,0.217533208,0.412743476
b0/00/2218982924.jpg,37961843@N00,41.968504,-87.696948,2,10,127,0.097226594,0.000689972,0.902083333
bb/b6/6864637374.jpg,70771821@N06,36.501115,-4.80566,2,12,164,0.280820279,0.201751368,0.517428403
4d/63/4536545761.jpg,11956371@N07,52.090532,5.121989,2,11,11,0.37220692,0.013988389,0.613804742
e7/49/7702876790.jpg,66893217@N00,-37.78232,175.28871,2,15,231,0.282845493,0.000778106,0.716376488
49/d3/5835826915.jpg,37804979@N00,41.379304,2.179369,2,11,230,0.003866801,0.006386716,0.98974656
32/b8/3712601920.jpg,14591176@N07,51.672555,-58.183593,1,6,204,0.000107575,0.993137389,0.006755032
dd/97/2380236925.jpg,22789397@N05,43.671868,4.896672,1,8,154,0.00091955,0.600690697,0.398389786
5c/99/6063117185.jpg,10092242@N00,41.888836,-87.619812,1,7,306,0.016673974,0.751388185,0.231937841
67/95/1328448664.jpg,8584010@N08,35.911528,14.521415,2,15,348,0.009987864,0.016851525,0.973160656
9a/db/2162218129.jpg,68937570@N00,40.643591,8.350982,0,0,80,0.99678777,0.000227713,0.002984472
